,epoch,z,ielement,atwt,alat,ibar,rho0,re,zbl,alpha,b0,b1,b2,b3,esub,asub,t1,t2,t3,rozero,rc,delr,attrac,repuls,Cmin,Cmax,Ec,emb_lin_neg,bkgd_dyn,lattice_constant_fcc,bulk_modulus_fcc,c44_fcc,c12_fcc,c11_fcc,cohesive_energy_fcc,thermal_expansion_coeff_fcc,surface_energy_100_fcc
0,reference,12.0,0.0,58.69,3.5213917703,3.0,1.0,2.49,0.0,5.08421758,2.56,1.5,6.0,1.5,4.45,0.94,3.1,1.8,4.36,1.0,4.8,0.1,0.05,0.05,0.81,2.8,4.45,0.0,0.0,3.521391749382019,187.58568396397249,131.7235255310276,150.76305753920852,261.2309368135004,4.450000000586389,,
1,initial,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.256857872009277,5.255152225494385,2.5981671810150146,4.954972267150879,0.8686728477478027,3.1259450912475586,0.9291768074035645,3.2636947631835938,1.587680459022522,6.2061004638671875,1.729614019393921,3.9052045345306396,0.08557058870792389,0.061649248003959656,0.0533117912709713,1.170852780342102,2.7782344818115234,3.6649417877197266,0.43741294741630554,-0.010089538060128689,3.7371363639831543,136.1162567138672,86.85812377929688,118.6669921875,179.0525665283203,3.6484949588775635,1.510320907982532e-05,0.08781684190034866
2,final,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.4333624839782715,2.959423542022705,2.189749002456665,5.602392196655273,0.7971827983856201,4.87199068069458,0.7884302139282227,3.813307523727417,3.8721964359283447,5.154190540313721,2.281949520111084,4.020167350769043,0.15799984335899353,0.09188401699066162,0.07419506460428238,1.193737268447876,2.8206710815429688,4.382522106170654,0.48727449774742126,-0.1086336225271225,3.521214485168457,185.86813354492188,131.46119689941406,152.4510040283203,258.9517517089844,4.450062274932861,1.2379014151520096e-05,0.1223108172416687
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.500611305236816,5.332793712615967,2.225555419921875,4.921942710876465,0.870113730430603,3.308035373687744,0.929236114025116,3.317812442779541,1.8823992013931274,6.582306385040283,1.8767797946929932,4.06252384185791,0.08237485587596893,0.06384151428937912,0.05620373785495758,1.3713815212249756,2.7919960021972656,3.828430652618408,0.5268970131874084,-0.02244025282561779,3.757108688354492,154.8122100830078,97.98932647705078,133.49073791503906,207.5675048828125,4.103092670440674,1.263188460143283e-05,0.10158024728298187
5,10,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.80462646484375,4.932814121246338,1.998275637626648,4.779719829559326,1.1768720149993896,3.878096342086792,0.9171342253684998,3.4508426189422607,3.966660737991333,6.704434394836426,2.0020408630371094,3.875006914138794,0.09540610760450363,0.058040980249643326,0.060831379145383835,1.3782334327697754,2.952798843383789,3.877981662750244,0.6085714101791382,-0.12416549026966095,3.705585241317749,179.95281982421875,111.94190216064453,151.1149139404297,242.6284637451172,4.26027774810791,1.0452579772390891e-05,0.11781269311904907
6,20,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.646718978881836,4.1785173416137695,2.0910487174987793,4.6506195068359375,0.6721189022064209,4.155313014984131,0.8812214732170105,3.6439907550811768,3.826550245285034,6.036651134490967,1.9384729862213135,3.6874070167541504,0.12259017676115036,0.04501545429229736,0.0589517317712307,1.2829771041870117,2.989684581756592,4.027251243591309,0.5859350562095642,-0.13881413638591766,3.624311685562134,183.5594482421875,123.57935333251953,153.321044921875,251.18592834472656,4.2999587059021,1.0732685950642917e-05,0.121263787150383
7,30,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.509281635284424,3.7401187419891357,2.1128034591674805,4.649547100067139,0.3282310664653778,4.2693891525268555,0.8550803065299988,3.787038803100586,3.3006880283355713,5.587484836578369,1.7907905578613281,3.7080466747283936,0.13613176345825195,0.04292229935526848,0.055965855717659,1.2413489818572998,2.9781057834625244,4.232156753540039,0.5667623281478882,-0.12106667459011078,3.60648775100708,186.3556365966797,129.45370483398438,155.16249084472656,257.2583923339844,4.412149906158447,1.0873429346247576e-05,0.12353581190109253
8,40,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.377622127532959,3.594478130340576,2.2256267070770264,4.70479154586792,0.29580745100975037,4.280977249145508,0.8404662013053894,3.850499153137207,3.1838419437408447,5.25113582611084,1.6009129285812378,3.7081143856048584,0.13932089507579803,0.04530001059174538,0.053316254168748856,1.1225305795669556,2.986755609512329,4.27495813369751,0.5331977009773254,-0.10679973661899567,3.5734663009643555,184.7734832763672,129.89849853515625,154.12107849121094,254.5314483642578,4.33104133605957,1.1411932973715011e-05,0.12175481766462326
9,50,12.0,4.4607347149394627e-07,58.689998626708984,3.521389961242676,3.0,1.0,2.490000009536743,-9.613652096618353e-09,5.3657989501953125,3.5141282081604004,2.1989927291870117,4.733654975891113,0.294226735830307,4.357862949371338,0.8276515603065491,3.849689483642578,3.0665295124053955,5.2134528160095215,1.5344326496124268,3.758308172225952,0.1413951963186264,0.04919048771262169,0.0545654296875,1.1054933071136475,2.9669809341430664,4.3205647468566895,0.5157041549682617,-0.1045398861169815,3.5644664764404297,187.67361450195312,131.79690551757812,156.1842498779297,258.84393310546875,4.389193058013916,1.155107111117104e-05,0.12300962954759598
